gan'zhi'gan 乾之乾：道陟石阪，胡言连蹇。译喑且聋，莫使道通。请谒不行，求事无功。
jia'ren'zhi'ming'yi 家人之明夷：骑豚逐羊，不见所望。经涉虎庐，亡身失羔。
jia'ren'zhi'kui 家人之睽：安床厚褥，不归久宿。弃我喜宴，困于南国。投杼之忧，弗成祸灾。
jia'ren'zhi'jian 家人之蹇：五方四维，平安不危。利以居止，保有玉女。
jia'ren'zhi'jie 家人之解：西贾巴蜀，寒雪至毂。欲前不得，复反其室。
jia'ren'zhi'sun 家人之损：刚柔相呼，二姓为家。霜降既同，惠我以仁。
jia'ren'zhi'yi 家人之益：天马五道，炎火分处。往来上下，住又驹亡。衣柔巾麻，相随哭歌，凶恶如何？
jia'ren'zhi'kuai 家人之夬：出门怀忧，东上祸丘。与凶相遇，自为灾患。
jia'ren'zhi'gou 家人之家人之姤：西行求玉，冀得隋璞。反见凶恶，使我惊惑。
jia'ren'zhi'cui 萃：出门无妄，动作失利。衔忧怀祸，使我多悴。
jia'ren'zhi'sheng 家人之升：高楼无柱，颠僵不久。纣失三仁，身死牧野。
jia'ren'zhi'kun 家人之困：避祸逃殃，身外不伤。高贵疾颠，华落堕凶。
jia'ren'zhi'jing 家人之井：张牙反目，怒齚作怒。狂马烧犬，道惊伤轸。
jia'ren'zhi'ge 家人之革：泉涸龙忧，箕子为奴。干叔陨命，殷破其家。
jia'ren'zhi'ding 家人之鼎：向食饮酒，嘉宾聚会。牂羊大猪，君子饶有。
jia'ren'zhi'zhen 家人之震：黄牛騂犊，东行折角。冀得百牂，反亡我囊。
jia'ren'zhi'gen 家人之艮：路多枳棘，步刺我足。不利旅客，为心作毒。
jia'ren'zhi'jian 家人之渐：执斧破薪，使媒求妇。和合二姓，亲御斯酒。居比邻里，姑公悦喜。
jia'ren'zhi'gui'mei 家人之归妺：驾车出门，顺时宜西。福佑我身，安宁无患。
jia'ren'zhi'feng 家人之丰：日新东从，魁杓为祸。仆台为秦，使我久坐。
jia'ren'zhi'lv 家人之旅：山陵丘墓，魂魄室屋。精光竭尽，长卧无觉。
jia'ren'zhi'xun 家人之巽：孩子贪饵，为利所悦。探把釜甑，烂其臂手。
jia'ren'zhi'dui 家人之兑：何材待时，闭户独愁。蚯蚓冬行，解我无忧。桑蚕不得，女功弗成。
jia'ren'zhi'huan 家人之涣：解商惊惶，散我衣装，君不安邦。
jia'ren'zhi'jie 家人之节：害政养贼，背主入愆。跛行不安，国危为患。
jia'ren'zhi'zhong'fu 家人之中孚：祸走患伏，喜为我福。凶恶消亡，灾害不作。
jia'ren'zhi'xiao'guo 家人之小过：老马无驹，病鸡不雏。三雌独宿，利在山北。
jia'ren'zhi'ji'ji 家人之既济：播天舞地，哓乱神所，居乐无咎。
jia'ren'zhi'wei'ji 家人之未济：异国殊俗，情不相得。金木为仇，酉贼檀谷。
kui'zhi'kui 睽之睽：仓盈庾亿，宜稼黍稷，年岁有息。
kui'zhi'gan 睽之乾：被服文衣，游观酒池，上堂见觞。喜为吾兄，使我忧亡。
kui'zhi'kun 睽之坤：邑姜叔子，天文在手。实沉参墟，封为晋侯。
kui'zhi'tun 睽之屯：改柯易叶，饭温不食。豪雄争强，先者受福。
kui'zhi'meng 睽之蒙：馨香陟降，明德上登。社神佑顾，命予大邻。
kui'zhi'xu 睽之需：老狼白驴，长尾大狐，前颠却踬，进退遇祟。
kui'zhi'song 睽之讼：山没丘浮，陆为水鱼，燕雀无庐。
kui'zhi'shi 睽之师：懿公浅愚，不深受谋。无援失国，为狄所贼。
kui'zhi'bi 睽之比：鼎炀其耳，热不可举。大涂塞壅，旅人心苦。
kui'zhi'xiao'xu 睽之小畜：凶声丑言，恶不可闻。君子舍之，往恨我心。
kui'zhi'lv 睽之履：昧暮乘车，履危蹈沟。亡失群物，摧折两轴。
kui'zhi'tai 睽之泰：南有嘉鱼，驾黄取???。鲂鱮诩诩，利来毋忧。
kui'zhi'pi 睽之否：隔在九山，往来劳难。心结不通，失其所欢。
kui'zhi'tong'ren 睽之同人：下流难居，狂夫多罢。贞良温柔，年岁不富。
kui'zhi'da'you 睽之大有：狐狸雉兔，畏人逃去。分走窜匿，不知所处。
kui'zhi'qian 睽之谦：异体殊俗，各有所属。西邻孤妪，欲寄我室。主母骂詈，终不可得。
kui'zhi'yu 睽之豫：怒非怨妬，贪得腐鼠。而呼鹊鸇，自令失饵，致被困患。
kui'zhi'sui 睽之随：五心六意，岐道多怪。非君本志，生我恨悔。
kui'zhi'gu 睽之蛊：三班六黑，同室共食。日长月息，我家有德。
kui'zhi'lin 睽之临：方船备水，旁河燃火，终身无祸。
kui'zhi'guan 睽之观：翳屏独语，不闻朝市。以利居服，兔跛后闻。
kui'zhi'ke'shi 睽之噬嗑：以处不安，从反触患。
kui'zhi'ben 睽之贲：剠刖髡劓，人所贱弃。批捍之言，我心不快。
kui'zhi'bo 睽之剥：皋田禾黍，捶壤麻阜。衣食我躬，室家饶有。
kui'zhi'fu 睽之复：两目失明，日夺无光。胫足跛踦，不可以行，顿于丘傍。
kui'zhi'wu'wang 睽之无妄：金城朔方，外国多羊。履霜不时，去复为忧。
kui'zhi'da'xu 睽之大畜：匿病不医，乱政伤灾。纣作淫虐，商破其墟。
kui'zhi'yi 睽之颐：鬼泣哭枉，悲伤无后。甲子昧爽，殷人绝祀。
kui'zhi'da'guo 睽之大过：焱风卒起，车驰袍褐。弃古追亡，失其和节，心忧惙惙。
kui'zhi'kan 睽之坎：耄老失明，闻善不从。自令颠沛，败为咎殃。
kui'zhi'li 睽之离：随风骑龙，与利相逢。田获三狐，商伯有功。冲冲之邑，长安无他。
kui'zhi'xian 睽之咸：三牛五?，重明作福，使我有得。疾人官狱，忧在心腹。
kui'zhi'heng 睽之恒：孟巳乙丑，哀呼尼父。明德讫终，乱害滋起。
kui'zhi'dun 睽之遯：华灯百枝，消暗衰微。精光讫尽，奄如灰縻。
kui'zhi'da'zhaung 睽之大壮：鹰飞雉退，兔伏不起。弧张狼鸣，野鸡飞惊。
kui'zhi'jin 睽之晋：鬭战天门，身有何患？室家具在，不失其欢。
kui'zhi'ming'yi 睽之明夷：东家杀牛，行逆腥臊，神背西顾，命衰绝周。亳社灾烧，宋人夷诛。
kui'zhi'jia'ren 睽之家人：阴阳辨舒，二姓相合。婚姻孔云，生我利福。
kui'zhi'jian 睽之蹇：东入海口，循流北走。一高一下，五邑无主。十日六夜，死于水涘。
kui'zhi'jie 睽之解：孤竹之墟，失妇无夫。伤于蒺藜，不见其妻。东郭棠姜，武子以亡。
kui'zhi'sun 睽之损：天户东墟，尽既为灾。跰???黯聋，秦伯受殃。
kui'zhi'yi 睽之益：赖先休光，受福之祉。虽遭乱溃，独不危殆。
kui'zhi'kuai 睽之夬：折若闭目，不见稚叔。三足孤乌，远去家室。
kui'zhi'gou 睽之姤：二人同室，兄弟合食。和乐相好，各得所敬。
kui'zhi'cui 睽之萃：继体守藩，纵欲废贤。君臣淫游，夏氏失身。侧室之门，福禄来存。
kui'zhi'sheng 睽之升：老狐屈尾，东西为鬼。病我长女，坐涕诎指。或西或东，大华易诱。
kui'zhi'kun 睽之困：大树之子，百条共母。当夏六月，枝叶盛茂。鸾凤以庇，召伯避暑。穉穉卭甚，各得其所。
kui'zhi'jing 睽之井：井堙木刊，国多暴残。秦王失戍，坏其太坛。
kui'zhi'ge 睽之革：驾黄买苍，与利相迎。心获所守，不累弟兄。
kui'zhi'ding 睽之鼎：庾亿仓盈，年岁安宁，稼穑熟成。
kui'zhi'zhen 睽之震：人生马渊，寿老且神。飞腾上天，舍宿轩辕，居常乐安。
kui'zhi'gen 睽之艮：思顾所之，乃令逢时。洗我故忧，拜我欢来。
kui'zhi'jian 睽之渐：魁罡所当，初为败殃。君子留连，困于水浆。求金东山，利在代乡。贾市有息，子载母行。
kui'zhi'gui'mei 睽之归妺：铅刀攻玉，无不钻凿。龙体其举，鲁般为辅。三仁翼事，所求必喜。
kui'zhi'feng 睽之丰：喜来如云，举家蒙欢。众才君子，驾福盈门。
kui'zhi'lv 睽之旅：响像无形，骨体不成。微行衰索，消灭无名。
kui'zhi'xun 睽之巽：积水不温，北陆苦寒。露宿多风，君子伤心。
kui'zhi'dui 睽之兑：黄马绿车，驾之大都。赞达才能，使我无忧。
kui'zhi'huan 睽之涣：从风放火，艾芝俱死。三害集聚，十子患伤。
kui'zhi'jie 睽之节：一身三手，无益于辅。两足共节，不能克敏。
kui'zhi'zhong'fu 睽之中孚：南向一室，风雨并入。尘埃积湿，主毋盲痹，偏枯心疾，乱我家资。
kui'zhi'xiao'guo 睽之小过：采薇出车，鱼丽思初。上下促急，君子怀忧。
kui'zhi'ji'ji 睽之既济：先易后否，告我利市。骚苏自苦，思吾故止。
kui'zhi'wei'ji 睽之未济：生宜地乳，上皇大喜。隆我祉福，贵寿无极。
jian'zhi'jian 蹇之蹇：同载共舆，中道别去。丧我元夫，独与孤居。
jian'zhi'gan 蹇之乾：叔盻拘冤，祁子自邑。乘遽解患，羊舌免脱，赖得全生。
jian'zhi'kun 蹇之坤：兔聚东郭，众犬俱猎。围缺不成，无所能获。
jian'zhi'tun 蹇之屯：作室山根，人以为安。一旦崩颓，败我盘飡。
jian'zhi'meng 蹇之蒙：疾风尘起，乱扰崩始。强大并小，先否后喜。
jian'zhi'xu 蹇之需：洁齐沐浴，思明君德。哀公怯弱，风氏复北。
jian'zhi'song 蹇之讼：土瘠瘦薄，培塿无柏，使我不乐。
jian'zhi'shi 蹇之师：褰衣涉河，水深渍罢。赖幸舟子，济脱无他。
jian'zhi'bi 蹇之比：送我季女，至于荡道。齐子旦夕，留连久处。
jian'zhi'xiao'xu 蹇之小畜：三孙六子，安无所苦。中岁发殆，亡我所使。
jian'zhi'lv 蹇之履：扬风偃草，尘埃俱起。清浊溷散，忠直隐处。
jian'zhi'tai 蹇之泰：历险登危，道远劳疲。玄豕自归，困涉大波。
jian'zhi'pi 蹇之否：六艺之门，仁义俱存。鎡基逢时，尧舜为君。伤寒热温，下至黄泉。
jian'zhi'tong'ren 蹇之同人：被服文衣，游观酒池。上堂见觞，喜为吾兄，使我忧亡。
jian'zhi'da'you 蹇之大有：生时不利，天命灾至。制于斧瘢，昼夜苦勤。
jian'zhi'qian 蹇之谦：天门开辟，牢户寥廓。桎梏解脱，拘囚纵释。
jian'zhi'yu 蹇之豫：川渊难游，水为我忧。多言少实，命鹿为驹。建德开基，君子逢时。利以仲疑。
jian'zhi'sui 蹇之随：乡岁逢时，与生为期。枝叶盛茂，君子无忧。
jian'zhi'gu 蹇之蛊：六鷁退飞，为衰败祥。陈师合战，左股夷伤。遂崩不起，霸功不成。
jian'zhi'lin 蹇之临：雷君出装，隐隐西行。霖雨不止，流为巨江，南国以伤。
jian'zhi'guan 蹇之观：牙孽生齿，室蟠启户。幽人利贞，鼓翼起舞。
jian'zhi'ke'shi 蹇之噬嗑：火起上门，不为我残。跳脱东西，独得生完。不利出邻，病疾忧患。
jian'zhi'ben 蹇之贲：举事无成，不利出征。言不可用，众莫能平。
jian'zhi'bo 蹇之剥：老狼白驴，长尾大狐。前颠却踬，进退遇祟。
jian'zhi'fu 蹇之复：日入道极，劳者休息。班马还师，复我燕室。
jian'zhi'wu'wang 蹇之无妄：林麓山薮，非人所处。鸟兽无礼，使我心苦。
jian'zhi'da'xu 蹇之大畜：蓄利积福，日新其德。高氏饮食，忧不为患。
jian'zhi'yi 蹇之颐：张罗百目，鸟不得北。缩颈挂翼，困于窘国。君子治德，获誉受福。
jian'zhi'da'guo 蹇之大过：伯虎仲熊，德义渊弘。使布五教，阴阳顺序。
jian'zhi'kan 蹇之坎：跛踦相随，日暮牛罢。陵迟后旅，失利亡雌。
jian'zhi'li 蹇之离：嬴氏违良，使孟寻兵。师老不已，败于齐卿。
jian'zhi'xian 蹇之咸：日月并居，常暗且微。高山萌颠，丘陵为溪。
jian'zhi'heng 蹇之恒：鸟鹊食谷，张口受哺。蒙被恩德，长大成就。柔顺利贞，君臣合好。
jian'zhi'dun 蹇之遯：虽踬复起，不毁牙齿。克免平复，忧除无疾。
jian'zhi'da'zhaung 蹇之大壮：草木黄落，岁暮无室。虐政为贼，大人失福。
jian'zhi'jin 蹇之晋：避凶东走，反入祸口。制于牙爪，骨为灰土。
jian'zhi'ming'yi 蹇之明夷：欲飞不能，志苦心劳，福不我求。
jian'zhi'jia'ren 蹇之家人：羔裘豹祛，东与福遇。驾迎吾兄，送我鹂黄。
jian'zhi'kui 蹇之睽：东耕破犂，西失良妻。灾害不避，家贫无资。
jian'zhi'jie 蹇之解：鱼陆失所，凫?困苦。泽无雚蒲，晋国以虚。
jian'zhi'sun 蹇之损：脱兔无蹄，三步五罢。南行不进，后市身苦。
jian'zhi'yi 蹇之益：行役未已，新事复起。姬姜劳苦，不得休止。
jian'zhi'kuai 蹇之夬：向日扬光，火为正王。消金厌兵，雷车避藏。阴雨不行，民安其乡。
jian'zhi'gou 蹇之姤：放衘垂辔，奔马不制，弃法作奸，君失其位。
jian'zhi'cui 蹇之萃：司命下游，喜解我忧。皇母缓带，婴子笑喜。
jian'zhi'sheng 蹇之升：黄帝出游，驾龙乘马。东上泰山，南过齐鲁，郡国咸喜。
jian'zhi'kun 蹇之困：既往不说，忧来祸结。北户为患，无所申雪。
jian'zhi'jing 蹇之井：荷蒉隐名，以避乱倾。终身不仕，遂其洁清。
jian'zhi'ge 蹇之革：折挺舂稷，君不得食。头痒搔跟，无益于疾。
jian'zhi'ding 蹇之鼎：植根不固，华叶落去，便为枯树。
jian'zhi'zhen 蹇之震：凶门生患，牢户多冤。沙池秃齿，使叔困贫。
jian'zhi'gen 蹇之艮：登山履谷，与虎相触。猬为功曹，班叔奔北，脱之喜国。
jian'zhi'jian 蹇之渐：麟凤所翔，国无咎殃。贾市十倍，复归惠里。
jian'zhi'gui'mei 蹇之归妺：路险道难，水遏我前。进往不利，回车复还。
jian'zhi'feng 蹇之丰：延颈望邑，恩归其室。台榭不成，未得安息。
jian'zhi'lv 蹇之旅：蒙生株瞿，棘挂我须。小人妬嫉，使恩不遂。
jian'zhi'xun 蹇之巽：南至隐域，深潜处匿。聪明闭塞，与死为伍。
jian'zhi'dui 蹇之兑：机饵设张，司暴子良。范叔不廉，凶害及身。
jian'zhi'huan 蹇之涣：从骑出门，游戏空城。阪高不进，利无所得。
jian'zhi'jie 蹇之节：西国疆梁，为虎作狼。东吞楚齐，并有其王。
jian'zhi'zhong'fu 蹇之中孚：登山代辐，虎在我侧。王孙无惧，仁见不贼。
jian'zhi'xiao'guo 蹇之小过：六月睽睽，各欲有望。后来未壮，俟时旦明。
jian'zhi'ji'ji 蹇之既济：道涉多阪，牛马蜿蟮。车不丽载，请求不得。
jian'zhi'wei'ji 蹇之未济：一口三舌，相妨无益。群羊百?，不为威强。亡马失驹，家耗于财。
jie'zhi'jie 解之解：驾行出游，鸟鬭车前，更相捽灭。兵寇旦来，回车亟还，可以无忧。
jie'zhi'gan 解之乾：大都之居，无物不具。抱布贸丝，所求必得。
jie'zhi'kun 解之坤：胶著木连，不出牢关。家室相安。
jie'zhi'tun 解之屯：孟伯食长，惧其畏王。赖四蒙五，抱福归房。
jie'zhi'meng 解之蒙：防舆疲驷，不任衘辔。君子服之，谈何容易。
jie'zhi'xu 解之需：许嫁既婚，利福在身。适惠生桓，为我鲁君。
jie'zhi'song 解之讼：入门大喜，上堂见母。妻子俱在，兄弟饶友。
jie'zhi'shi 解之师：推车上山，力不能任。颠蹶蹉跌，伤我中心。
jie'zhi'bi 解之比：雁飞退去，不食其雏。禽尚如此，何况人与？
jie'zhi'xiao'xu 解之小畜：福弃我走，利不可得。幽人利贞，终无怨慝。
jie'zhi'lv 解之履：夫妻反目，不能正室。翁云于南，姬言还北。并后匹嫡，二政乱国。
jie'zhi'tai 解之泰：阳衰伏匿，阴淫为贼。赖幸王孙，遂至喜国。
jie'zhi'pi 解之否：入山求玉，不见和璞。终日至暮，劳无所得。
jie'zhi'tong'ren 解之同人：鸣鸾四牡，驾出行狩。合格有获，献公饮酒。
jie'zhi'da'you 解之大有：覆手举牍，易为功力。月正元日，平饮致福。
jie'zhi'qian 解之谦：三火高明，雨灭其光。高位疾颠，骄恣诛伤。
jie'zhi'yu 解之豫：褁糗荷粮，与利相逢。高飞有德，君大获福。
jie'zhi'sui 解之随：道理和得，人不相贼。君子往之，乐有利福。
jie'zhi'gu 解之蛊：水土相得，万物蕃殖。膏泽优渥，君子有德。
jie'zhi'lin 解之临：天孙帝子，与日月处。光荣于世，福禄繁祉。
jie'zhi'guan 解之观：陪依在位，乘非其器。折足覆餗，毁伤宝玉。
jie'zhi'ke'shi 解之噬嗑：鷁飞中退，举事不遂。且守仁德，犹免失坠。
jie'zhi'ben 解之贲：经棘正冠，意盈不廉。桀纣迷惑，谗佞伤贤，使国乱烦。
jie'zhi'bo 解之剥：申酉退跌，阴慝前作。柯条花枝，复泥不白。
jie'zhi'fu 解之复：平正贱使，主服苦事。
jie'zhi'wu'wang 解之无妄：钓鲂河湄，水长无涯，振手徒归。上下昏迷，属公孙齐。
jie'zhi'da'xu 解之大畜：胎养萌生，始见兆形。遭逢雷电，摧角折颈。采?山头，终安不倾。
jie'zhi'yi 解之颐：阳春枯槁，夏多水潦。霜雹俱击，伤我禾黍，年岁困苦。
jie'zhi'da'guo 解之大过：三身六齿，痛疾不已。龋病蠹缺，堕落其宅。
jie'zhi'kan 解之坎：失恃无友，嘉耦出走，傫如丧狗。
jie'zhi'li 解之离：寅重微民，岁乐年息。有国无咎，君子安喜。
jie'zhi'xian 解之咸：登几上车，驾驷南游。合散从横，燕秦以强。
jie'zhi'heng 解之恒：鸟集茂木，顺柔利贞。心乐愿得，感戴慈母。
jie'zhi'dun 解之遯：启蛰始生，万物美荣。祉禄未成，市贾无嬴。
jie'zhi'da'zhaung 解之大壮：骄胡大形，造恶作凶。无所能成，还自灭身。
jie'zhi'jin 解之晋：异国他土，出良骏马。去如奔?，害不能伤。
jie'zhi'ming'yi 解之明夷：恪敬竟职，心不作慝。君明臣忠，民赖其福。
jie'zhi'jia'ren 解之家人：三女求夫，伺候山隅。不见复关，长思忧叹。
jie'zhi'kui 解之睽：驾福乘喜，东至嘉国。戴庆南行，离我室居。
jie'zhi'jian 解之蹇：四奸为残，齐鲁道难。前驱执殳，戒守无患。
jie'zhi'sun 解之损：下扰上烦，蠹蛊为患，岁饥无年。
jie'zhi'yi 解之益：鸡雉失雏，常畏狐狸。黄池要盟，越国以昌。
jie'zhi'kuai 解之夬：坚冰黄鸟，终日悲号。不见白粒，但观蓬蒿。数惊鸷鸟。孰为我忧？
jie'zhi'gou 解之姤：王铣铁颐，仓库空虚。市贾无盈，与我为仇。
jie'zhi'cui 解之萃：窃名盗位，居非其家。霜陨不实，为阴所贼。
jie'zhi'sheng 解之升：贼仁伤德，天怒不福。斩刈宗社，失其本域。
jie'zhi'kun 解之困：万物初生，蛰虫振起。益寿增福，日受其喜。
jie'zhi'jing 解之井：和气所在，物皆不朽。圣贤居位，国无凶咎。
jie'zhi'ge 解之革：麟游凤舞，岁乐民喜。
jie'zhi'ding 解之鼎：行行窘步，次宿方舍。居安不惧，姬姜何忧？
jie'zhi'zhen 解之震：水深难游，霜寒难涉。商伯失利，旅人稽留。
jie'zhi'gen 解之艮：跛踦相随，日莫牛罢。陵迟后旅，失利亡雌。
jie'zhi'jian 解之渐：一年九锁，更相牵挛。案明如市，不得东西。请谳得报，日中被刑。
jie'zhi'gui'mei 解之归妺：春桃生花，季女宜家。受福多年，男为邦君。
jie'zhi'feng 解之丰：雷鼓东行，稼穑凋伤。大夫执政，君替其明。
jie'zhi'lv 解之旅：季世多忧，乱国淫游。殃祸立至，民无以休。
jie'zhi'xun 解之巽：发輗温汤，过角宿房。宜时布和，无所不通。
jie'zhi'dui 解之兑：水中大贾，求利食子。商人至市，空无所有。
jie'zhi'huan 解之涣：春草萌生，万物敷荣。阴阳和调，国乐无忧。
jie'zhi'jie 解之节：左眇右盲，目视不明。下民多孽，君失其常。
jie'zhi'zhong'fu 解之中孚：悦以内安，不利出门。忧除祸消，公孙何尤。
jie'zhi'xiao'guo 解之小过：丹书之信，言不负语。易我驎骥，君子有德。
jie'zhi'ji'ji 解之既济：上政搔扰，螟?并起。害我嘉谷，年岁无稷。
jie'zhi'wei'ji 解之未济：干旄旌旗，执职在郊。虽有宝珠，无路致之。
sun'zhi'sun 损之损：路多枳棘，步刺我足。不利孤客，为心作毒。
sun'zhi'gan 损之乾：鲤鲋鲔鰕，???福多鱼。资所有无，富我邦家。
sun'zhi'kun 损之坤：景星照堂，麟游凤翔。仁施大行，颂声作兴。征者无明，失其宠光。
sun'zhi'tun 损之屯：羊肠九萦，相推稍前。止须王孙，乃能上天。
sun'zhi'meng 损之蒙：四手共身，莫失所闲。更相放接，动失事便。
sun'zhi'xu 损之需：水流趋下，逯至东来。求我所有，买鲂与鲤。
sun'zhi'song 损之讼：春栗夏枣，少鲜希有。斗千石万，贵不可贩。
sun'zhi'shi 损之师：旦往暮还，相佑与聚，无有凶患。
sun'zhi'bi 损之比：大虵当路，使季畏惧。汤火之灾，切直我肤。赖其天幸，归于生庐。
sun'zhi'xiao'xu 损之小畜：从足去域，飞入陈国。有所畏避，深藏邃匿。
sun'zhi'lv 损之履：海为水宗，聪明且圣。百流归德，无有叛逆，常饶优足。
sun'zhi'tai 损之泰：夏麦麸?，霜击其芒。病君败国，使年大伤。
sun'zhi'pi 损之否：秋隼冬翔，数被严霜。雄父夜鸣，家忧不宁。
sun'zhi'tong'ren 损之同人：乐仁上德，东邻慕义，来安吾国。
sun'zhi'da'you 损之大有：遂忧除殃，污泥生梁，下田为汪。
sun'zhi'qian 损之谦：暗昧冥语，转相诖误。鬼魅所居，谁知卧处。
sun'zhi'yu 损之豫：南历玉山，东入玉关。登上福堂，饮万岁浆。
sun'zhi'sui 损之随：比目四翼，来安我国。福善上堂，与我同床。
sun'zhi'gu 损之蛊：乘牛逐骥，日暮不至。路宿多畏，亡其騂骓。
sun'zhi'lin 损之临：元吉无咎，安宁不殆。
sun'zhi'guan 损之观：奋翅鼓翼，翱翔外国。逍遥徙倚，来归温室。
sun'zhi'ke'shi 损之噬嗑：河伯娶妇，东山氏女。新婚三日，浮云洒雨。露我菅茅，万家之佑。
sun'zhi'ben 损之贲：婴儿求乳，慈母归子。黄麑悦喜，得见甘饱。
sun'zhi'bo 损之剥：贫鬼守门，日破我盆。毁罂伤瓶，空虚无子。
sun'zhi'fu 损之复：多载重负，损弃于野。予无稚子，但自劳苦。
sun'zhi'wu'wang 损之无妄：雄狐绥绥，登山崔嵬。昭告显功，大福允兴。
sun'zhi'da'xu 损之大畜：婴儿孩笑，未有所识。彼童而争，乱我政事。
sun'zhi'yi 损之颐：十丸同投，为雉所维。独得跳脱，完全不亏。
sun'zhi'da'guo 损之大过：狐济濡尾，求橘得枳。季妣怀悔，鲍舍鱼臭。
sun'zhi'kan 损之坎：跌足息肩，所忌不难。金城铜郭，以铁为关。藩屏周卫，安止无患。
sun'zhi'li 损之离：戴尧扶禹，松乔彭祖。西过王母，道路夷易，无敢难者。
sun'zhi'xian 损之咸：京庾积聚，黍稷以极。行者疾至，可以厌饱。
sun'zhi'heng 损之恒：良天孔姬，胁悝登台。乐季不扶，叔辄走逃。
sun'zhi'dun 损之遯：天之所予，福禄常在，不忧危殆。
sun'zhi'da'zhaung 损之大壮：行触天纲，马死车伤。身无憀赖，困穷乏粮。
sun'zhi'jin 损之晋：铅刀攻玉，坚不可得。尽我筋力，胝蠒为疾。
sun'zhi'ming'yi 损之明夷：穆违百里，使孟奋武。将军师战，败于淆口。
sun'zhi'jia'ren 损之家人：有人追亡，鸟言所匿，不旅日得。
sun'zhi'kui 损之睽：府藏之富，王以赈贷。捕鱼河海，苟罔多得。
sun'zhi'jian 损之蹇：鸿飞遵陆，公归不复，伯氏客宿。
sun'zhi'jie 损之解：凫过稻庐，甘乐广鰌。虽惊不去，田畯怀忧。
sun'zhi'yi 损之益：雨师娶妇，黄岩季子。成礼既婚，相呼面南。膏泽应时，年丰大喜。
sun'zhi'kuai 损之夬：蓄积有馀，粪土不居。美哉轮奂，出有高车。
sun'zhi'gou 损之姤：重门击柝，介士守护。终有他道，虽惊不惧。
sun'zhi'cui 损之萃：大都王市，稠人多宝。公孙宜贾，其贷万倍。
sun'zhi'sheng 损之升：秋隼冬翔，数被严霜。甲兵当庭，万物不生。雄犬夜鸣，民扰以惊。
sun'zhi'kun 损之困：招祸致凶，来螫我邦。痛在手足，不得安息。
sun'zhi'jing 井：秦失其鹿，疾走先得。勇夫慕义，君子变服。
sun'zhi'ge 损之损之革：山陵四塞，遏我迳路。欲前不得，复还故处。
sun'zhi'ding 损之鼎：一指食肉，口无所得。舌嚵于腹。
sun'zhi'zhen 损之震：晨夜惊骇，不知所止。皇母相佑，卒得安处。
sun'zhi'gen 损之艮：豺狼所言，语无成全。误我白马，使乾口来。
sun'zhi'jian 损之渐：呼精灵来，魄生无忧。疾病愈瘳，解我患愁。
sun'zhi'gui'mei 损之归妺：牧羊逐兔，使鱼相捕。任非其人，卒岁无功，不免辛苦。
sun'zhi'feng 损之丰：堂祥上楼，与福俱居。席地妃治，国安无忧。
sun'zhi'lv 损之旅：禹召诸神，会稽南山。执玉万国，天下康安。
sun'zhi'xun 损之巽：太姒文母，乃生圣子。昌发受命，为天下主。
sun'zhi'dui 损之兑：两罝同室，兔无谁告，与狂相触，蒙我以恶。
sun'zhi'huan 损之涣：桃雀窃脂，巢于小枝。动摇不安，为风所吹。寒恐悚栗，常忧殆危。
sun'zhi'jie 损之节：阳春长日，万物华实，乐有利福。
sun'zhi'zhong'fu 损之中孚：邻不我顾，而望玉女。身疾疮癞，谁肯媚者？
sun'zhi'xiao'guo 损之小过：涸旱不雨，泽竭无流。鱼鳖乾口，皇天不忧。
sun'zhi'ji'ji 损之既济：狼虎之乡，日争凶讼。受性贪饕，不能容纵。
sun'zhi'wei'ji 损之未济：阴注阳疾，水离其室。舟楫大作，伤害黍稷。民饥于食，亦病心腹。
yi'zhi'jie 益之益：文王四乳，仁爱笃厚。子畜十男，无有折夭。
yi'zhi'gan 益之乾：下堂出门，东至九山。逢福值喜，得其安闲。
yi'zhi'kun 益之坤：城上有乌，自名破家。招呼鸩毒，为国患灾。
yi'zhi'tun 益之屯：伯虎仲熊，德义渊闻。使敷五教，阴阳顺序。
yi'zhi'meng 益之蒙：饮酒醉酣，跳起争鬭。手足纷挐，伯伤仲僵，东家治丧。
yi'zhi'xu 益之需：四目相视，稍近同机。日昳之后，见吾伯姊。
yi'zhi'song 益之讼：随时逐便，不失利门。多获得福，富于封君。
yi'zhi'shi 益之师：陇西冀北，多见骏马。去如焱扬，害不能伤。
yi'zhi'bi 益之比：白龙黑虎，起伏俱怒。蚩尤败走，死于鲁首。
yi'zhi'xiao'xu 益之小畜：鸿飞戾天，避害紫渊。虽有锋门，不能危身。
yi'zhi'lv 益之履：平国不君，夏氏作乱。乌号窃发，灵公陨命。
yi'zhi'tai 益之泰：江汉上游，政逆民忧。阴伐其阳，雄受其殃。
yi'zhi'pi 益之否：东家杀牛，闻臭腥臊。神怒不顾，命衰绝周。亳社灾烧，妄夷诛愁。
yi'zhi'tong'ren 益之同人：西诛不服，恃强负力。倍道趍敌，师走败覆。
yi'zhi'da'you 益之大有：一妇六夫，乱扰不治。张王季疾，莫适为公。政道壅塞，周君失邦。
yi'zhi'qian 益之谦：配合相迎，利之四乡。昏以为期，明星煌煌。欣喜爽泽，所言得当。
yi'zhi'yu 益之豫：猿堕高木，不踒手足。握金怀玉，还归其室。
yi'zhi'sui 益之随：卷领遁世，仁德不害。三圣攸同，周国茂兴。
